code,display_name,unit,data_type,min,max
afterHoursChangeAbove,After-Hours Change Above,,,,
afterHoursChangeBelow,After-Hours Change Below,,,,
afterHoursChangePercAbove,After-Hours Change (%) Above,,,,
afterHoursChangePercBelow,After-Hours Change (%) Below,,,,
avgAnalystTarget2PriceRatioAbove,Avg Analyst Target/Price Ratio Above,,,,
avgAnalystTarget2PriceRatioBelow,Avg Analyst Target/Price Ratio Below,,,,
avgOptVolumeAbove,Average Opt. Volume Above,,,-2147483648,2147483647
avgPriceTargetAbove,Avg Analyst Price Target Above,,,,
avgPriceTargetBelow,Avg Analyst Price Target Below,,,,
avgRatingAbove,Avg Analyst Rating Above,,,,
avgRatingBelow,Avg Analyst Rating Below,,,,
avgUsdVolumeAbove,Avg Volume ($) Above,,,,
avgUsdVolumeBelow,Avg Volume ($) Below,,,,
avgVolumeAbove,Avg Volume Above,,,-2147483648,2147483647
avgVolumeBelow,Avg Volume Below,,,-2147483648,2147483647
bidAskPriceType,Bid/Ask,,,,
bondAmtOutstandingAbove,Amt. Outstanding Above,,,,
bondAmtOutstandingBelow,Amt. Outstanding Below,,,,
bondAskAbove,Price Above,,,,
bondAskBelow,Price Below,,,,
bondAskSizeValueAbove,Quantity Above,,,,
bondAskSizeValueBelow,Quantity Below,,,,
bondAskYieldAbove,Yield Above,,,,
bondAskYieldBelow,Yield Below,,,,
bondAssetSubTypeStrBeginsWithOneOf,Products,,,,
bondBankQualifiedIs,Bank Qualified,,,,
bondBidAbove,Price Above,,,,
bondBidBelow,Price Below,,,,
bondBidOrAskAbove,Price Above,,,,
bondBidOrAskBelow,Price Below,,,,
bondBidOrAskSizeValueAbove,Quantity Above,,,,
bondBidOrAskSizeValueBelow,Quantity Below,,,,
bondBidOrAskYieldAbove,Yield Above,,,,
bondBidOrAskYieldBelow,Yield Below,,,,
bondBidSizeValueAbove,Quantity Above,,,,
bondBidSizeValueBelow,Quantity Below,,,,
bondBidYieldAbove,Yield Above,,,,
bondBidYieldBelow,Yield Below,,,,
bondBuildAmericaIs,Build America,,,,
bondCallableIs,Callable,,,,
bondConvexityAbove,Convexity Above,,,,
bondConvexityBelow,Convexity Below,,,,
bondCreditRating,Credit Rating,,,,
bondDebt2BookRatioAbove,Debt/Book Above,,,,
bondDebt2BookRatioBelow,Debt/Book Below,,,,
bondDebt2EquityRatioAbove,Debt/Equity Above,,,,
bondDebt2EquityRatioBelow,Debt/Equity Below,,,,
bondDebt2TanBookRatioAbove,Debt/Tang. Book Above,,,,
bondDebt2TanBookRatioBelow,Debt/Tang. Book Below,,,,
bondDebtOutstandingAbove,Debt Outstanding Above,,,,
bondDebtOutstandingBelow,Debt Outstanding Below,,,,
bondDebtOutstandingMuniAbove,Debt Outstanding Above,,,,
bondDebtOutstandingMuniBelow,Debt Outstanding Below,,,,
bondDefaultedIs,Defaulted,,,,
bondDurationAbove,Duration (%) Above,,,,
bondDurationBelow,Duration (%) Below,,,,
bondEquity2BookRatioAbove,Equity/Book Above,,,,
bondEquity2BookRatioBelow,Equity/Book Below,,,,
bondEquity2TanBookRatioAbove,Equity/Tang. Book Above,,,,
bondEquity2TanBookRatioBelow,Equity/Tang. Book Below,,,,
bondExchListedIs,Exch. Listed,,,,
bondFdicInsIs,FDIC Insured,,,,
bondGeneralObligationIs,General Obligation,,,,
bondIncrementSizeAbove,Increment Size Above,,,-2147483648,2147483647
bondIncrementSizeBelow,Increment Size Below,,,-2147483648,2147483647
bondInitialSizeAbove,Initial Size Above,,,-2147483648,2147483647
bondInitialSizeBelow,Initial Size Below,,,-2147483648,2147483647
bondInsuredIs,Insured,,,,
bondIssuerLike,Issuer,,,,
bondNetAskAbove,Price Above,,,,
bondNetAskBelow,Price Below,,,,
bondNetAskSizeValueAbove,Quantity Above,,,,
bondNetAskSizeValueBelow,Quantity Below,,,,
bondNetAskYieldAbove,Yield Above,,,,
bondNetAskYieldBelow,Yield Below,,,,
bondNetBidAbove,Price Above,,,,
bondNetBidBelow,Price Below,,,,
bondNetBidOrAskAbove,Price Above,,,,
bondNetBidOrAskBelow,Price Below,,,,
bondNetBidOrAskSizeValueAbove,Quantity Above,,,,
bondNetBidOrAskSizeValueBelow,Quantity Below,,,,
bondNetBidOrAskYieldAbove,Yield Above,,,,
bondNetBidOrAskYieldBelow,Yield Below,,,,
bondNetBidSizeValueAbove,Quantity Above,,,,
bondNetBidSizeValueBelow,Quantity Below,,,,
bondNetBidYieldAbove,Yield Above,,,,
bondNetBidYieldBelow,Yield Below,,,,
bondNetSpreadAbove,Spread Above,,,,
bondNetSpreadBelow,Spread Below,,,,
bondNextCallDateAbove,Call Protection Above,,,,
bondNextCallDateBelow,Call Protection Below,,,,
bondNoFederalTaxIs,Exempt from Federal Tax,,,,
bondPaymentFreqIs,Payment Freq.,,,,
bondRefundedIs,Refunded,,,,
bondRevenueIs,Revenue,,,,
bondSpreadAbove,Spread Above,,,,
bondSpreadBelow,Spread Below,,,,
bondStkMarketCapAbove,Equity Cap. Above,,,,
bondStkMarketCapBelow,Equity Cap. Below,,,,
bondStkSymbolIs,Symbol,,,,
bondStructRelated,Incl. related issuers,,,,
bondSubjectToAmtIs,Subject to AMT,,,,
bondTradingFlatIs,Trading Flat,,,,
bondUSStateLike,US state/territory,,,,
bondValidBidOrAskOnly,Include bonds without quotes,,,,
bondValidNetBidOrAskOnly,Include bonds without quotes,,,,
bondVarCouponRateIs,Variable Rate,,,,
changeOpenPercAbove,Change Since Open (%) Above,,,,
changeOpenPercBelow,Change Since Open (%) Below,,,,
changePercAbove,Change (%) Above,,,,
changePercBelow,Change (%) Below,,,,
couponRateAbove,Coupon Rate Above,,,,
couponRateBelow,Coupon Rate Below,,,,
curEMA100Above,EMA(100) Above,,,,
curEMA100Below,EMA(100) Below,,,,
curEMA200Above,EMA(200) Above,,,,
curEMA200Below,EMA(200) Below,,,,
curEMA20Above,EMA(20) Above,,,,
curEMA20Below,EMA(20) Below,,,,
curEMA50Above,EMA(50) Above,,,,
curEMA50Below,EMA(50) Below,,,,
curMACDAbove,MACD Above,,,,
curMACDBelow,MACD Below,,,,
curMACDDistAbove,MACD Histogram Above,,,,
curMACDDistBelow,MACD Histogram Below,,,,
curMACDSignalAbove,MACD Signal Above,,,,
curMACDSignalBelow,MACD Signal Below,,,,
curPPOAbove,PPO Above,,,,
curPPOBelow,PPO Below,,,,
curPPODistAbove,PPO Histogram Above,,,,
curPPODistBelow,PPO Histogram Below,,,,
curPPOSignalAbove,PPO Signal Above,,,,
curPPOSignalBelow,PPO Signal Below,,,,
currencyLike,Currency,,,,
currYrETFFYBVPerShareAbove,Curr Year Book Value Per Share (AltaVista) Above,,,,
currYrETFFYBVPerShareBelow,Curr Year Book Value Per Share (AltaVista) Below,,,,
currYrETFFYDividendYieldAbove,Curr Year Dividend Yield (AltaVista) Above,,,,
currYrETFFYDividendYieldBelow,Curr Year Dividend Yield (AltaVista) Below,,,,
currYrETFFYDPSAbove,Curr Year Dividends Per Share (AltaVista) Above,,,,
currYrETFFYDPSBelow,Curr Year Dividends Per Share (AltaVista) Below,,,,
currYrETFFYEPSAbove,Curr Year Earnings Per Share (AltaVista) Above,,,,
currYrETFFYEPSBelow,Curr Year Earnings Per Share (AltaVista) Below,,,,
currYrETFFYEPSGrowthAbove,Curr Year Earnings Per Share Growth (AltaVista) Above,,,,
currYrETFFYEPSGrowthBelow,Curr Year Earnings Per Share Growth (AltaVista) Below,,,,
currYrETFFYNetMarginAbove,Curr Year Net Margins Per Share (AltaVista) Above,,,,
currYrETFFYNetMarginBelow,Curr Year Net Margins Per Share (AltaVista) Below,,,,
currYrETFFYPriceToBookValueAbove,Curr Year Price/Book Value Ratio (AltaVista) Above,,,,
currYrETFFYPriceToBookValueBelow,Curr Year Price/Book Value Ratio (AltaVista) Below,,,,
currYrETFFYPriceToCashFlowAbove,Curr Year Price/Cash Flow Ratio (AltaVista) Above,,,,
currYrETFFYPriceToCashFlowBelow,Curr Year Price/Cash Flow Ratio (AltaVista) Below,,,,
currYrETFFYPriceToEarningsAbove,Curr Year Price/Earnings Ratio (AltaVista) Above,,,,
currYrETFFYPriceToEarningsBelow,Curr Year Price/Earnings Ratio (AltaVista) Below,,,,
currYrETFFYPriceToGrowthAbove,Curr Year Price/Growth Ratio (AltaVista) Above,,,,
currYrETFFYPriceToGrowthBelow,Curr Year Price/Growth Ratio (AltaVista) Below,,,,
currYrETFFYPriceToSalesAbove,Curr Year Price/Sales Ratio (AltaVista) Above,,,,
currYrETFFYPriceToSalesBelow,Curr Year Price/Sales Ratio (AltaVista) Below,,,,
currYrETFFYRoEAbove,Curr Year Return on Equity (AltaVista) Above,,,,
currYrETFFYRoEBelow,Curr Year Return on Equity (AltaVista) Below,,,,
currYrETFFYSPSAbove,Curr Year Sales Per Share (AltaVista) Above,,,,
currYrETFFYSPSBelow,Curr Year Sales Per Share (AltaVista) Below,,,,
currYrETFFYSPSGrowthAbove,Curr Year Sales Per Share Growth (AltaVista) Above,,,,
currYrETFFYSPSGrowthBelow,Curr Year Sales Per Share Growth (AltaVista) Below,,,,
displayImbalanceAdvRatioAbove,Imbalance Adv Ratio (%) Above,,,,
displayImbalanceAdvRatioBelow,Imbalance Adv Ratio (%) Below,,,,
displayRegulatoryImbAdvRatioAbove,Regulatory Imbalance Adv Ratio (%) Above,,,,
displayRegulatoryImbAdvRatioBelow,Regulatory Imbalance Adv Ratio (%) Below,,,,
dividendFrdAbove,Dividends Above (%),,,,
dividendFrdBelow,Dividends Below (%),,,,
dividendNextAmountAbove,Next Dividend per Share Above,,,,
dividendNextAmountBelow,Next Dividend per Share Below,,,,
