code,display_name
BOND_CUSIP_AZ,
BOND_CUSIP_ZA,
FAR_MATURITY_DATE,
HIGH_COUPON_RATE,
HIGH_MOODY_RATING_ALL,
HIGH_SP_RATING_ALL,
LOW_COUPON_RATE,
LOW_MOODY_RATING_ALL,
LOW_SP_RATING_ALL,
NEAR_MATURITY_DATE,
SCAN_numPriceTargets_ASC,# of Analyst Price Targets (Refinitiv) Asc
SCAN_numPriceTargets_DESC,# of Analyst Price Targets (Refinitiv) Desc
SCAN_numRatings_ASC,# of Analyst Ratings (Refinitiv) Asc
SCAN_numRatings_DESC,# of Analyst Ratings (Refinitiv) Desc
SCAN_ihNumSharesInsider_ASC,# Shares Held By Insider Asc
SCAN_ihNumSharesInsider_DESC,# Shares Held By Insider Desc
SCAN_iiNumSharesInstitutional_ASC,# Shares Held By Institutions Asc
SCAN_iiNumSharesInstitutional_DESC,# Shares Held By Institutions Desc
SCAN_etfTR10yr_ASC,10yr Total Return (AltaVista) Asc
SCAN_etfTR10yr_DESC,10yr Total Return (AltaVista) Desc
SCAN_hvPercntl13w_ASC,13 Week HV Percentile Asc
SCAN_hvPercntl13w_DESC,13 Week HV Percentile Desc
SCAN_hvRank13w_ASC,13 Week HV Rank Asc
SCAN_hvRank13w_DESC,13 Week HV Rank Desc
SCAN_ivPercntl13w_ASC,13 Week IV Percentile Asc
SCAN_ivPercntl13w_DESC,13 Week IV Percentile Desc
SCAN_ivRank13w_ASC,13 Week IV Rank Asc
SCAN_ivRank13w_DESC,13 Week IV Rank Desc
HIGH_VS_13W_HL,13-Week High
LOW_VS_13W_HL,13-Week Low
SCAN_etf1moChng_ASC,1mo EPS Change (AltaVista) Asc
SCAN_etf1moChng_DESC,1mo EPS Change (AltaVista) Desc
SCAN_etfTR1yr_ASC,1yr Total Return (AltaVista) Asc
SCAN_etfTR1yr_DESC,1yr Total Return (AltaVista) Desc
SCAN_etfTrackingDiffPct_ASC,1yr Tracking Difference (AltaVista) Asc
SCAN_etfTrackingDiffPct_DESC,1yr Tracking Difference (AltaVista) Desc
SCAN_hvPercntl26w_ASC,26 Week HV Percentile Asc
SCAN_hvPercntl26w_DESC,26 Week HV Percentile Desc
SCAN_hvRank26w_ASC,26 Week HV Rank Asc
SCAN_hvRank26w_DESC,26 Week HV Rank Desc
SCAN_ivPercntl26w_ASC,26 Week IV Percentile Asc
SCAN_ivPercntl26w_DESC,26 Week IV Percentile Desc
SCAN_ivRank26w_ASC,26 Week IV Rank Asc
SCAN_ivRank26w_DESC,26 Week IV Rank Desc
HIGH_VS_26W_HL,26-Week High
LOW_VS_26W_HL,26-Week Low
SCAN_etfRSI_ASC,30-day RSI (AltaVista) Asc
SCAN_etfRSI_DESC,30-day RSI (AltaVista) Desc
SCAN_etf3moChng_ASC,3mo Change (AltaVista) Asc
SCAN_etf3moChng_DESC,3mo EPS Change (AltaVista) Desc
SCAN_hvPercntl52w_ASC,52 Week HV Percentile Asc
SCAN_hvPercntl52w_DESC,52 Week HV Percentile Desc
SCAN_hvRank52w_ASC,52 Week HV Rank Asc
SCAN_hvRank52w_DESC,52 Week HV Rank Desc
SCAN_ivPercntl52w_ASC,52 Week IV Percentile Asc
SCAN_ivPercntl52w_DESC,52 Week IV Percentile Desc
SCAN_ivRank52w_ASC,52 Week IV Rank Asc
SCAN_ivRank52w_DESC,52 Week IV Rank Desc
HIGH_VS_52W_HL,52-Week High
LOW_VS_52W_HL,52-Week Low
SCAN_etf5yrEPS_ASC,5yr EPS Growth (AltaVista) Asc
SCAN_etf5yrEPS_DESC,5yr EPS Growth (AltaVista) Desc
